Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-04-18 17:00:49,false,"Washington Running","4.52","481","38:42","160","179","3.5","160","168","8:34","7:47","88","86","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-16 18:20:40,false,"Washington Running","4.02","424","35:39","156","173","3.2","160","168","8:53","7:17","122","135","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-14 10:25:25,false,"Washington Running","9.59","1,192","1:31:16","166","185","4.5","164","174","9:31","8:14","562","686","1.03","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-13 18:30:28,false,"Arlington County Running","3.17","373","28:31","161","180","3.4","162","166","9:00","7:29","52","45","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-12 18:32:08,false,"Washington Running","5.54","630","48:52","160","182","3.9","160","168","8:49","7:07","314","325","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-08 18:05:35,false,"Washington Running","3.12","295","26:33","145","174","2.7","160","236","8:31","6:56","55","64","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-06 18:40:11,false,"Arlington County Running","3.12","326","22:24","180","196","4.0","165","176","7:10","6:27","45","43","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-05 18:31:47,false,"Washington Running","4.53","425","38:06","148","178","3.4","160","250","8:25","7:28","126","135","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-02 17:55:48,false,"Washington Running","5.02","519","43:09","155","179","3.7","161","168","8:35","7:42","108","116","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-31 11:13:46,false,"Washington Running","10.01","1,128","1:29:31","163","202","4.6","161","219","8:56","7:32","266","389","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-26 18:34:36,false,"Washington Running","3.11","346","26:53","161","182","3.4","161","245","8:38","6:48","63","72","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-23 17:56:33,false,"Washington Running","5.02","570","42:36","166","184","4.2","160","168","8:29","7:08","97","84","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-17 12:44:38,false,"Washington Running","5.03","572","43:23","163","180","4.1","160","170","8:37","7:13","106","116","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-13 18:11:54,false,"Washington Running","2.52","276","21:16","161","179","3.2","162","174","8:26","7:44","30","56","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-04 11:08:15,false,"Washington Running","6.14","739","53:48","165","182","4.4","163","245","8:46","7:05","108","106","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
treadmill_running,2018-02-27 18:40:43,false,"Treadmill Running","2.60","274","22:29","149","173","3.0","159","165","8:39","7:34","--","--","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-23 12:33:43,false,"Washington Running","4.02","449","33:09","162","183","3.7","163","244","8:15","7:20","68","79","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-21 16:39:06,false,"Washington Running","4.02","472","33:26","168","189","4.1","161","168","8:19","7:18","121","118","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-20 17:19:56,false,"Washington Running","4.01","414","33:10","154","181","3.5","161","170","8:16","7:09","96","133","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-17 07:51:40,false,"Washington Running","3.14","272","22:41","150","166","2.8","167","174","7:13","6:28","1","1","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-12 17:29:59,false,"Washington Running","4.02","444","35:42","155","176","3.2","161","170","8:53","7:33","73","78","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-04 10:06:17,false,"Washington Running","10.01","924","1:29:28","148","185","3.0","164","181","8:56","6:08","296","314","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-02-01 16:50:42,false,"Washington Running","4.01","422","34:34","155","192","3.1","164","173","8:37","7:46","52","97","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-30 16:35:36,false,"Washington Running","4.02","416","33:52","154","178","3.1","164","173","8:25","7:14","55","67","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-27 14:19:25,false,"Washington Running","9.01","972","1:20:12","158","184","3.7","163","172","8:54","7:55","340","461","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-24 16:39:44,false,"Washington Running","3.17","323","26:46","154","180","3.0","165","174","8:26","7:09","55","64","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-23 16:26:39,false,"Washington Running","6.02","638","51:48","160","177","3.6","162","168","8:36","8:06","148","156","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-21 11:36:24,false,"Washington Running","8.07","792","1:12:59","148","177","4.1","165","175","9:03","7:40","185","179","1.08","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-19 17:40:32,false,"Washington Running","5.02","575","43:48","164","180","4.2","163","170","8:44","7:16","142","134","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-16 17:15:20,false,"Washington Running","5.03","537","44:08","157","175","3.6","163","182","8:47","7:29","80","90","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-13 09:53:14,false,"Washington Running","5.03","557","43:35","163","180","4.1","163","170","8:40","7:56","820","869","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-10 12:18:07,false,"Washington Running","5.02","568","43:29","165","180","4.1","161","166","8:40","7:21","125","133","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-09 13:17:36,false,"Washington Running","4.53","467","40:04","153","179","3.6","160","166","8:51","8:13","82","82","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-06 12:46:45,false,"Washington Running","5.02","593","44:04","169","185","4.5","161","172","8:47","7:49","139","136","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-31 11:18:04,false,"Hyde Park Running","4.02","451","36:25","157","185","3.7","162","170","9:03","8:39","112","124","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-30 12:57:11,false,"West Roxbury Running","0.42","246","29:49","128","185","2.3","116","176","--","14:45","--","--","0.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-18 17:24:15,false,"Washington Running","4.52","442","42:40","142","176","3.1","160","170","9:26","7:16","123","133","1.07","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-14 12:34:53,false,"Washington Running","2.13","209","18:45","145","178","2.5","162","245","8:48","6:30","52","61","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-10 13:49:20,false,"Washington Running","10.03","930","1:28:53","152","175","3.3","163","172","8:51","6:45","333","335","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
