,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,activity_date,activity_time
99,running,2017-10-08 08:05:24,False,Chicago Running,26.57,"2,966",4:57:23,157,185,4.3,157,176,11:12,6:48,269,266,0.91,2017-10-08,08:05:24
100,running,2017-10-05 18:38:41,False,Washington Running,3.13,342,29:23,149,172,2.8,158,168,9:23,8:26,56,66,1.08,2017-10-05,18:38:41
101,running,2017-10-03 18:14:06,False,Washington Running,5.03,491,46:33,143,165,2.7,159,246,9:15,7:02,97,111,1.09,2017-10-03,18:14:06
102,running,2017-09-30 08:18:25,False,Washington Running,8.03,841,1:12:20,155,175,3.2,162,170,9:00,7:53,213,225,1.11,2017-09-30,08:18:25
103,running,2017-09-28 18:26:22,False,Washington Running,4.02,405,37:11,144,167,2.7,159,166,9:15,7:54,70,83,1.09,2017-09-28,18:26:22
104,running,2017-09-26 18:27:34,False,Washington Running,6.02,680,53:35,161,177,3.7,159,183,8:54,7:26,111,106,1.14,2017-09-26,18:27:34
105,running,2017-09-23 08:35:23,False,Washington Running,12.04,"1,199",1:46:05,159,175,3.5,162,186,8:49,7:32,249,263,1.13,2017-09-23,08:35:23
106,running,2017-09-21 17:49:25,False,Washington Running,6.03,645,52:52,158,184,3.3,160,170,8:46,7:47,92,102,1.15,2017-09-21,17:49:25
107,running,2017-09-19 18:17:06,False,Washington Running,5.02,517,44:04,153,171,3.0,160,170,8:46,8:09,78,88,1.15,2017-09-19,18:17:06
108,running,2017-09-18 17:46:50,False,Washington Running,5.03,512,44:33,152,170,3.0,159,168,8:52,8:06,228,211,1.14,2017-09-18,17:46:50
109,running,2017-09-16 09:13:49,False,Washington Running,18.05,"1,839",2:46:00,164,181,3.8,161,246,9:12,6:46,422,580,1.08,2017-09-16,09:13:49
110,running,2017-09-14 18:36:00,False,Washington Running,5.07,562,42:23,166,185,3.7,160,184,8:22,7:34,126,129,1.2,2017-09-14,18:36:00
111,running,2017-09-13 18:37:37,False,Washington Running,1.01,91,8:51.6,137,159,1.7,159,245,8:48,7:21,24,15,1.15,2017-09-13,18:37:37
112,running,2017-09-12 18:13:54,False,Washington Running,6.2,622,54:40,152,173,3.1,159,243,8:49,7:01,153,159,1.15,2017-09-12,18:13:54
113,running,2017-09-09 08:30:30,False,Dennis Running,3.14,330,26:16,160,178,3.0,162,195,8:22,4:27,65,68,1.19,2017-09-09,08:30:30
114,running,2017-09-08 10:00:45,False,Dennis Running,6.01,683,52:44,165,185,4.0,163,201,8:47,4:10,119,126,1.12,2017-09-08,10:00:45
115,running,2017-09-05 17:50:39,False,Washington Running,6.16,653,52:30,161,189,3.6,160,170,8:31,6:55,106,118,1.18,2017-09-05,17:50:39
